,displayname,domain,params,path,tagname
id_0,Content.ad widget.aspx,content.ad,,/Scripts/widget.aspx,Content.ad
id_1,Google show_ads_impl.js,googlesyndication.com,,/pagead/js/r20160607/r20151006/show_ads_impl.js,Google
id_10,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_100,AOL ADTECH;cors=yes;cmd=bid;alias=72e5f0da4593f6;grp=344;misc=1465518880953,adtechus.com,cors=yes;cmd=bid;alias=72e5f0da4593f6;grp=344;misc=1465518880953,/pubapi/3.0/10064.1/3942661/0/0/ADTECH,AOL
id_101,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_102,AOL ADTECH;cors=yes;cmd=bid;alias=838fdcf85aded9;grp=344;misc=1465518880958,adtechus.com,cors=yes;cmd=bid;alias=838fdcf85aded9;grp=344;misc=1465518880958,/pubapi/3.0/10064.1/3942663/0/0/ADTECH,AOL
id_103,AOL ADTECH;cors=yes;cmd=bid;alias=93b7eee4ece529;grp=344;misc=1465518880963,adtechus.com,cors=yes;cmd=bid;alias=93b7eee4ece529;grp=344;misc=1465518880963,/pubapi/3.0/10064.1/3942665/0/0/ADTECH,AOL
id_104,AOL ADTECH;cors=yes;cmd=bid;alias=10c85295f763152;grp=344;misc=1465518880968,adtechus.com,cors=yes;cmd=bid;alias=10c85295f763152;grp=344;misc=1465518880968,/pubapi/3.0/10064.1/3942667/0/0/ADTECH,AOL
id_105,AOL ADTECH;cors=yes;cmd=bid;alias=114fd2dd4beacc3;grp=344;misc=1465518880973,adtechus.com,cors=yes;cmd=bid;alias=114fd2dd4beacc3;grp=344;misc=1465518880973,/pubapi/3.0/10064.1/3942669/0/0/ADTECH,AOL
id_106,AOL ADTECH;cors=yes;cmd=bid;alias=128447a27a31369;grp=344;misc=1465518880978,adtechus.com,cors=yes;cmd=bid;alias=128447a27a31369;grp=344;misc=1465518880978,/pubapi/3.0/10064.1/3942672/0/0/ADTECH,AOL
id_107,AOL ADTECH;cors=yes;cmd=bid;alias=13e22b51b9e820e;grp=344;misc=1465518880983,adtechus.com,cors=yes;cmd=bid;alias=13e22b51b9e820e;grp=344;misc=1465518880983,/pubapi/3.0/10064.1/3942674/0/0/ADTECH,AOL
id_108,AOL ADTECH;cors=yes;cmd=bid;alias=141c0f494fb884a;grp=344;misc=1465518880987,adtechus.com,cors=yes;cmd=bid;alias=141c0f494fb884a;grp=344;misc=1465518880987,/pubapi/3.0/10064.1/3942658/0/0/ADTECH,AOL
id_109,AOL ADTECH;cors=yes;cmd=bid;alias=155a003ebe5b3b2;grp=344;misc=1465518880994,adtechus.com,cors=yes;cmd=bid;alias=155a003ebe5b3b2;grp=344;misc=1465518880994,/pubapi/3.0/10064.1/3942676/0/0/ADTECH,AOL
id_11,AppNexus vevent,adnxs.com,,/vevent,AppNexus
id_110,AOL ADTECH;cors=yes;cmd=bid;alias=16a934aebfa196e;grp=344;misc=1465518880999,adtechus.com,cors=yes;cmd=bid;alias=16a934aebfa196e;grp=344;misc=1465518880999,/pubapi/3.0/10064.1/3942660/0/0/ADTECH,AOL
id_111,AOL ADTECH;cors=yes;cmd=bid;alias=17b2d8941dc16f5;grp=344;misc=1465518881005,adtechus.com,cors=yes;cmd=bid;alias=17b2d8941dc16f5;grp=344;misc=1465518881005,/pubapi/3.0/10064.1/3942662/0/0/ADTECH,AOL
id_112,AOL ADTECH;cors=yes;cmd=bid;alias=182de3b5c3ba47d;grp=344;misc=1465518881009,adtechus.com,cors=yes;cmd=bid;alias=182de3b5c3ba47d;grp=344;misc=1465518881009,/pubapi/3.0/10064.1/3942664/0/0/ADTECH,AOL
id_113,AOL ADTECH;cors=yes;cmd=bid;alias=194a3cbc3bb7059;grp=344;misc=1465518881014,adtechus.com,cors=yes;cmd=bid;alias=194a3cbc3bb7059;grp=344;misc=1465518881014,/pubapi/3.0/10064.1/3942666/0/0/ADTECH,AOL
id_114,AOL ADTECH;cors=yes;cmd=bid;alias=207fcd719006e5f;grp=344;misc=1465518881018,adtechus.com,cors=yes;cmd=bid;alias=207fcd719006e5f;grp=344;misc=1465518881018,/pubapi/3.0/10064.1/3942668/0/0/ADTECH,AOL
id_115,AOL ADTECH;cors=yes;cmd=bid;alias=21246fecbc64a63;grp=344;misc=1465518881023,adtechus.com,cors=yes;cmd=bid;alias=21246fecbc64a63;grp=344;misc=1465518881023,/pubapi/3.0/10064.1/3942670/0/0/ADTECH,AOL
id_116,AOL ADTECH;cors=yes;cmd=bid;alias=22d8a492026c0df;grp=344;misc=1465518881027,adtechus.com,cors=yes;cmd=bid;alias=22d8a492026c0df;grp=344;misc=1465518881027,/pubapi/3.0/10064.1/3942671/0/0/ADTECH,AOL
id_117,AOL ADTECH;cors=yes;cmd=bid;alias=23169fd7c95e027;grp=344;misc=1465518881032,adtechus.com,cors=yes;cmd=bid;alias=23169fd7c95e027;grp=344;misc=1465518881032,/pubapi/3.0/10064.1/3942673/0/0/ADTECH,AOL
id_118,Simpli.fi dpx,simpli.fi,,/dpx,Simpli.fi
id_119,Mezzobit Ls98zp,cloudfront.net,,/Ls98zp,Mezzobit
id_12,AppNexus vevent,adnxs.com,,/vevent,AppNexus
id_120,Content.ad widget.aspx,content.ad,,/Scripts/widget.aspx,Content.ad
id_121,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_122,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_123,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_124,Mezzobit Qr5num,cloudfront.net,,/Qr5num,Mezzobit
id_125,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_126,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_127,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_128,Content.ad widget.aspx,content.ad,,/Scripts/widget.aspx,Content.ad
id_129,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_13,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_130,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_131,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_132,AppNexus vevent,adnxs.com,,/vevent,AppNexus
id_133,AppNexus vevent,adnxs.com,,/vevent,AppNexus
id_134,AppNexus vevent,adnxs.com,,/vevent,AppNexus
id_135,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_136,OnScroll p.gif,onscroll.com,,/p.gif,OnScroll
id_137,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_138,Content.ad widget.aspx,content.ad,,/Scripts/widget.aspx,Content.ad
id_139,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_14,AppNexus vevent,adnxs.com,,/vevent,AppNexus
id_140,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_141,Mezzobit M5jq67,cloudfront.net,,/M5jq67,Mezzobit
id_142,Content.ad widget.aspx,content.ad,,/Scripts/widget.aspx,Content.ad
id_143,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_144,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_145,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_146,Content.ad widget.aspx,content.ad,,/Scripts/widget.aspx,Content.ad
id_147,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_148,Pubmatic AdCallAggregator,pubmatic.com,,/AdServer/AdCallAggregator,Pubmatic
id_149,AOL ADTECH;cors=yes;cmd=bid;alias=409b0d98793851;grp=114;misc=1465518910529,adtechus.com,cors=yes;cmd=bid;alias=409b0d98793851;grp=114;misc=1465518910529,/pubapi/3.0/10064.1/3942657/0/0/ADTECH,AOL
id_15,OnScroll ms.os.js,onscroll.com,,/ms.os.js,OnScroll
id_150,AOL ADTECH;cors=yes;cmd=bid;alias=500f6e1848ffc2;grp=114;misc=1465518910538,adtechus.com,cors=yes;cmd=bid;alias=500f6e1848ffc2;grp=114;misc=1465518910538,/pubapi/3.0/10064.1/3942675/0/0/ADTECH,AOL
id_151,AOL ADTECH;cors=yes;cmd=bid;alias=62d8e2b38cbb2b;grp=114;misc=1465518910542,adtechus.com,cors=yes;cmd=bid;alias=62d8e2b38cbb2b;grp=114;misc=1465518910542,/pubapi/3.0/10064.1/3942659/0/0/ADTECH,AOL
id_152,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_153,AOL ADTECH;cors=yes;cmd=bid;alias=708342c9e880b3;grp=114;misc=1465518910547,adtechus.com,cors=yes;cmd=bid;alias=708342c9e880b3;grp=114;misc=1465518910547,/pubapi/3.0/10064.1/3942661/0/0/ADTECH,AOL
id_154,AOL ADTECH;cors=yes;cmd=bid;alias=8395b213bb4399;grp=114;misc=1465518910553,adtechus.com,cors=yes;cmd=bid;alias=8395b213bb4399;grp=114;misc=1465518910553,/pubapi/3.0/10064.1/3942663/0/0/ADTECH,AOL
id_155,AOL ADTECH;cors=yes;cmd=bid;alias=9802e4b8df8d2d;grp=114;misc=1465518910562,adtechus.com,cors=yes;cmd=bid;alias=9802e4b8df8d2d;grp=114;misc=1465518910562,/pubapi/3.0/10064.1/3942665/0/0/ADTECH,AOL
id_156,AOL ADTECH;cors=yes;cmd=bid;alias=10aa5a568ab9b65;grp=114;misc=1465518910567,adtechus.com,cors=yes;cmd=bid;alias=10aa5a568ab9b65;grp=114;misc=1465518910567,/pubapi/3.0/10064.1/3942667/0/0/ADTECH,AOL
id_157,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_158,AOL ADTECH;cors=yes;cmd=bid;alias=1173b7f1d2264de;grp=114;misc=1465518910573,adtechus.com,cors=yes;cmd=bid;alias=1173b7f1d2264de;grp=114;misc=1465518910573,/pubapi/3.0/10064.1/3942669/0/0/ADTECH,AOL
id_159,AOL ADTECH;cors=yes;cmd=bid;alias=120403cb9edc321;grp=114;misc=1465518910579,adtechus.com,cors=yes;cmd=bid;alias=120403cb9edc321;grp=114;misc=1465518910579,/pubapi/3.0/10064.1/3942672/0/0/ADTECH,AOL
id_16,OnScroll p.gif,onscroll.com,,/p.gif,OnScroll
id_160,AOL ADTECH;cors=yes;cmd=bid;alias=13a3465589d865f;grp=114;misc=1465518910587,adtechus.com,cors=yes;cmd=bid;alias=13a3465589d865f;grp=114;misc=1465518910587,/pubapi/3.0/10064.1/3942674/0/0/ADTECH,AOL
id_161,AOL ADTECH;cors=yes;cmd=bid;alias=148eeb322cf930d;grp=114;misc=1465518910592,adtechus.com,cors=yes;cmd=bid;alias=148eeb322cf930d;grp=114;misc=1465518910592,/pubapi/3.0/10064.1/3942658/0/0/ADTECH,AOL
id_162,AOL ADTECH;cors=yes;cmd=bid;alias=152dc31e948aa3a;grp=114;misc=1465518910608,adtechus.com,cors=yes;cmd=bid;alias=152dc31e948aa3a;grp=114;misc=1465518910608,/pubapi/3.0/10064.1/3942676/0/0/ADTECH,AOL
